data,Boi Gordo (SP),Bezerro (MS),Soja (Paranaguá),Milho (ESALQ/B3)
2026-07-20,337.1,3384.74,142.65,65.22
2026-07-21,342.45,3394.05,144.17,65.29
2026-07-22,342.65,3392.59,145.45,65.27
2026-07-23,343.75,3395.4,147.47,65.55
2026-07-24,344.2,3388.21,148.37,65.74
2026-07-27,344.25,3391.09,147.75,65.47
2026-07-28,347.7,3386.98,147.89,65.22
2026-07-29,347.4,3371.46,146.81,65.33
2026-07-30,346.9,3377.68,145.29,65.3
2026-07-31,346.55,3377.23,144.91,65.25
2026-08-03,347.9,3368.3,144.04,65.24
2026-08-04,350.2,3369.17,144.12,65.17
2026-08-05,348.55,3364.48,144.91,64.86
2026-08-06,348.3,3356.8,144.98,64.84
2026-08-07,347.5,3354.35,145.15,65.02
